File,Smell,Correlation,P-value,Significant
shap_cs+satd.csv,TC,,,❌
kornia_cs+satd.csv,OSE,0.316,0.04732,✅
kornia_cs+satd.csv,BCE,-0.08,0.62176,❌
kornia_cs+satd.csv,PDE,,,❌
kornia_cs+satd.csv,SV,0.168,0.30115,❌
kornia_cs+satd.csv,OS,0.412,0.0083,✅
kornia_cs+satd.csv,SD,,,❌
kornia_cs+satd.csv,RS,0.307,0.05402,❌
kornia_cs+satd.csv,TF,-0.14,0.38987,❌
kornia_cs+satd.csv,UI,-0.236,0.14273,❌
kornia_cs+satd.csv,TC,,,❌
POT_cs+satd.csv,OSE,0.615,0.00049,✅
POT_cs+satd.csv,BCE,-0.129,0.51461,❌
POT_cs+satd.csv,PDE,,,❌
POT_cs+satd.csv,SV,0.501,0.00666,✅
POT_cs+satd.csv,OS,,,❌
POT_cs+satd.csv,SD,0.341,0.076,❌
POT_cs+satd.csv,RS,0.516,0.00498,✅
POT_cs+satd.csv,TF,,,❌
POT_cs+satd.csv,UI,-0.033,0.86599,❌
POT_cs+satd.csv,TC,,,❌
hdbscan_cs+satd.csv,OSE,0.297,0.02933,✅
hdbscan_cs+satd.csv,BCE,,,❌
hdbscan_cs+satd.csv,PDE,,,❌
hdbscan_cs+satd.csv,SV,0.446,0.00073,✅
hdbscan_cs+satd.csv,OS,,,❌
hdbscan_cs+satd.csv,SD,0.322,0.01761,✅
hdbscan_cs+satd.csv,RS,0.316,0.02007,✅
hdbscan_cs+satd.csv,TF,-0.148,0.2842,❌
hdbscan_cs+satd.csv,UI,,,❌
hdbscan_cs+satd.csv,TC,,,❌
