Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC,CommunitySmells,SATD,Code,Defect,Design,Documentation,M&T,Requirement,SATD
scanpy,1.6.1,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,31,2,4,2,3,7,13,31
scanpy,1.7.0rc1,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,33,2,5,2,3,6,15,33
scanpy,1.8.0.dev0,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,33,2,5,2,3,6,15,33
scanpy,1.7.0,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,35,2,5,2,3,6,17,35
scanpy,1.7.1,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,35,2,5,2,3,6,17,35
scanpy,1.7.2,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,36,2,5,2,2,5,20,36
scanpy,1.8.0,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,40,1,5,2,5,5,22,40
scanpy,1.9.0.dev0,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,40,1,5,2,5,5,22,40
scanpy,1.8.1,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,39,1,5,2,5,5,21,39
scanpy,1.8.2,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,40,1,5,2,6,5,21,40
scanpy,1.9.0,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,47,2,5,3,7,7,23,47
scanpy,1.10.0.dev0,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,47,2,5,3,7,7,23,47
scanpy,1.9.1,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,47,2,5,3,7,7,23,47
scanpy,1.9.2,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,48,2,6,3,7,7,23,48
scanpy,1.9.3,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,48,2,6,3,7,7,23,48
scanpy,1.9.4,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,47,2,4,3,7,7,24,47
scanpy,1.9.5,2023-10-06,0,1,1,0,0,0,1,1,0,1,5,47,2,4,3,7,7,24,47
scanpy,1.9.6,2023-10-31,1,1,1,1,0,0,1,1,0,1,7,47,2,4,3,7,7,24,47
scanpy,1.9.7,2024-01-25,0,1,1,0,0,0,0,1,0,1,4,47,2,4,3,7,7,24,47
scanpy,1.9.8,2024-01-26,0,1,1,0,0,0,1,1,0,1,5,47,2,4,3,7,7,24,47
scanpy,1.10.0rc1,2024-02-22,0,1,1,0,0,0,0,1,0,1,4,59,2,6,5,9,8,29,59
scanpy,1.10.0rc2,2024-02-23,0,1,1,0,0,0,1,1,0,1,5,59,2,6,5,9,8,29,59
scanpy,1.10.0,2024-03-26,0,1,1,0,0,0,1,1,0,1,5,57,2,6,5,8,7,29,57
scanpy,1.10.1,2024-04-09,0,1,1,1,0,0,1,1,0,1,6,57,2,6,5,8,7,29,57
scanpy,1.10.2,2024-06-25,0,1,1,1,0,0,1,1,0,1,6,60,2,6,5,8,7,32,60
scanpy,1.10.3,2024-09-17,1,1,1,1,0,0,1,1,0,1,7,60,2,6,5,8,8,31,60
scanpy,1.10.4,2024-11-12,0,1,1,1,0,0,1,1,0,1,6,61,2,6,5,8,8,32,61
scanpy,1.11.0rc1,2024-12-20,0,1,1,0,0,0,1,1,0,1,5,64,3,7,5,8,8,33,64
scanpy,1.11.0rc2,2025-01-24,0,1,1,0,0,0,1,1,0,1,5,65,3,7,6,8,8,33,65
scanpy,1.11.0,2025-02-14,0,1,1,0,0,0,1,1,0,1,5,65,3,7,6,8,8,33,65
