Version,Commit Message,SATD
v3.0.0,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
v3.0.0,hack for python2/3 compatibility,1
v3.0.0,hack for python2/3 compatibility,1
v3.0.0,TODO: fix for pytorch 0.3,1
v3.0.0,TODO: context gate should be employed,1
v3.0.0,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.0.0,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.0.0,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.0.0,TODO: Find a better way to check for sparse gradients.,1
v3.0.0,TODO: needs to be added as inference opt,1
v3.0.0,this is a hack: appears quicker to apply it here,1
v3.0.0,TODO: maybe add dynamic part,1
2.3.0,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
2.3.0,hack for python2/3 compatibility,1
2.3.0,hack for python2/3 compatibility,1
2.3.0,TODO: fix for pytorch 0.3,1
2.3.0,TODO: context gate should be employed,1
2.3.0,TODO change the way attns is returned dict => list or tuple (onnx),1
2.3.0,TODO change the way attns is returned dict => list or tuple (onnx),1
2.3.0,TODO change the way attns is returned dict => list or tuple (onnx),1
2.3.0,hack to dodge unpicklable `dict_keys`,1
2.3.0,TODO: Find a better way to check for sparse gradients.,1
2.3.0,TODO: needs to be added as inference opt,1
2.3.0,this is a hack: appears quicker to apply it here,1
2.3.0,"This does not work if we merge with the first loop, not sure why",1
2.3.0,TODO: maybe add dynamic part,1
2.2.0,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
2.2.0,hack for python2/3 compatibility,1
2.2.0,hack for python2/3 compatibility,1
2.2.0,TODO: fix for pytorch 0.3,1
2.2.0,TODO: context gate should be employed,1
2.2.0,TODO change the way attns is returned dict => list or tuple (onnx),1
2.2.0,TODO change the way attns is returned dict => list or tuple (onnx),1
2.2.0,TODO change the way attns is returned dict => list or tuple (onnx),1
2.2.0,hack to dodge unpicklable `dict_keys`,1
2.2.0,TODO: Find a better way to check for sparse gradients.,1
2.2.0,this is a hack: appears quicker to apply it here,1
